rec_id,ssn,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp
R15789301,e191037158,david,l,franklin,m,27,30/4/1993, 11  araucaria  way  pine  lake  village ,elanora,4221,qld, 07  1840  1002 ,franklin.david@mail.com,graduate-diploma,health-professional,126291, 4383  6052  5403  3621 ,8,2020-05-10t20:07+00:00
R83493915,b154391938,maggie,drye,keever,f,37,12/10/1983, 78  burnett  street  cascade  glen ,buderim,4556,qld, 07  9309  9084 ,frroqrplsn@hotmail.com,graduate-diploma,education-professional,-9999, 4952  7992  9391  5843 ,16,2018-05-25t06:59+00:00
R44839197,c181974934,loel,franklin,courtney,f,60,8/7/1960, 120  piggabeen  road  cobaki  broadwater  village , tweed  heads  south ,2486,nsw, 02  7980  7638 ,dqcesloqfi@aol.com,secondary-school,un-employed,1559, 6861  0148  9786  8164 ,41,2020-01-15t08:34+00:00
R82387510,c125887031,jeffrey,mckinley,caran,m,32,17/10/1988, 27  moore  street  ormond  street , caulfield  south ,3162,vic,,caran93@mail.com,certificate-i,personal-services-worker,50905, 3004  0316  3535  2353 ,13,2020-07-09t13:11+00:00
R04446101,b100464411,michael,worth,ballard,f,55,18/4/1965, 12  goulburn  peninsula  pnsla , sylvania  waters ,2224,nsw, 02  4098  0706 ,michael11@mail.com,senior-secondary-school,taxi-driver,14920, 3048  8976  4818  0022 ,31,2015-10-18t01:47+00:00
R56002633,g163360205,john,,mcnair,f,19,3/12/2001, 868  old  calder  highway  keilor  retirement  village ,keilor,3036,vic, 03  9325  4064 ,john99@yahoo.com,senior-secondary-school,machinary-driver,, 2303  8204  0665  9108 ,0,2020-05-01t04:17+00:00
R78156397,a191867537,luelle,correll,shepard,f,62,25/10/1958, 1  wattle  avenue  rowethorpe ,bentley,6102,wa, 08  1811  0309 ,luelle94@gmail.com,diploma,ict-technician,140544, 6819  3002  1648  7027 ,43,2020-06-07t06:33+00:00
R08279195,a127995108,jimmy,keith,bell,f,24,24/12/1996, 90  birch  road  adeline  retirement  vlge ,wyoming,2250,nsw, 02  0220  6450 ,qnsenkdoje@gmail.com,bachelor-degree,ict-professional,, 1077  4259  9698  9647 ,5,2020-05-05t23:06+00:00
R57214579,g145775219,michelle,brown,rucker,f,29,12/11/1991, 114  moreys  road  araglen ,brucknell,3268,vic, 03  5308  4456 ,michelle.rucker@aol.com,certificate-i,carer,, 8584  9915  0627  0639 ,10,2020-02-26t11:11+00:00
R88105607,i158670180,james,carl,sexton,m,55,6/3/1964, 175  Bridgemary  Crescent , Humpty  Doo ,0836,NT, 08  6256  1409 ,james81@gmail.com,senior-secondary-school,other-clerical-worker,40327, 9537  1457  5860  8057 ,37,2019-02-13T19:57+00:00
R93799579,g179939795,ada,danielle,hollodick,f,52,3/9/1968, 17  johns  road  homeland  caravn  park ,wyong,2259,nsw,,ada.hollodick@mail.com,diploma,construction-worker,70006, 1090  4860  1645  7152 ,33,2020-05-08t08:54+00:00
R09838599,e193895980,brandy,,miller,f,48,9/5/1972, 5  river  park  road  governors  resort , port  macquarie ,2444,nsw, 02  9523  2036 ,,advance-diploma,ict-technician,132558, 4905  0207  1418  5110 ,29,2020-06-09t17:48+00:00
R34581434,i141433458,evonne,,szwec,f,64,4/5/1956, 9  cavenagh  street  national  mutual  centre ,darwin,0800,nt,,szwec.evonne@mail.com.au,certificate-i,other-service-worker,43641, 3332  4450  4844  2519 ,43,2018-08-04t06:19+00:00
R49844328,h132848944,douglas,woodrow,phelps,m,43,20/6/1977, 1  francis  road  olive  grove ,bordertown,5268,sa, 08  5894  2686 ,douglas18@hotmail.com,senior-secondary-school,farm-worker,-9999, 2339  9487  5823  9426 ,24,2020-01-06t15:46+00:00
R94257670,g154729706,john,wayne,aiken,f,68,11/11/1952, 258  spring  street  yukana  retirement  vlge ,toowoomba,4350,qld, 07  1223  0938 ,john.aiken@aol.com,certificate-iii,other-worker,61192, 5667  3918  8768  2438 ,40,2011-07-14t07:25+00:00
R03403957,a139004735,ila,j,demarchi-hapeman,f,67,16/3/1953, 369  merriwa  road  parkland ,denman,2328,nsw, 02  9668  4464 ,mkjcodllbr@mail.com.au,bachelor-degree,ict-technician,137148, 6249  8299  5758  6923 ,46,2018-08-10t24:38+00:00
R46259453,g165459432,frank,d,cashatt,m,36,25/10/1984, 280  north  road  pine  lodge , pine  lodge ,3631,vic, 03  3473  1240 ,cashatt78@yahoo.com,certificate-i,personal-services-worker,, 1690  3906  6977  9182 ,17,2020-02-16t06:12+00:00
R92448591,c128195449,kimberly,l,tuttell,f,42,2/10/1976, 10  Potts  Place ,Farrer,2607,ACT, 02  5443  4905 ,kimberly.tuttell@hotmail.com,secondary-school,factory-worker,14843, 5338  0703  7833  7122 ,24,2017-10-18T16:38+00:00
R64529969,f145299966,jasper,louis,ghent,f,14,29/11/2006, 258  spring  street  yukana  retirement  village ,toowoomba,4350,qld, 07  7047  2784 ,jasper.ghent@gmail.com,secondary-school,n/a,0,n/a,0,2020-07-26t15:34+00:00
R78440344,g147844340,shirley,virginia,heaton,f,45,5/11/1972, 670  malvern  road  flt  4 ,prahran,3181,vic, 03  2712  2741 ,reaflmnlpo@hotmail.com,certificate-iv,ict-technician,104657, 7834  3055  4056  2726 ,29,2017-04-22T13:58+00:00
R15935662,b135961625,robert,,noah,f,45,1/8/1975, 165  school  road  delaneys  creek ,d'aguilar,4514,qld, 07  7795  7027 ,robert69@hotmail.com,bachelor-degree,ict-technician,, 1481  4766  9133  3759 ,26,2020-03-21t01:29+00:00
R91552563,f156291535,charles,james,fisher,m,21,8/12/1999, 750  maidens  brush  road  henry  kendall  vlge , gosford  north ,2250,nsw, 02  3841  2468 ,charles.fisher@gmail.com,secondary-school,looking-for-employment,-9999, 0221  8773  2860  7600 ,2,2020-06-26t16:38+00:00
R33930747,a170493733,ashlee,eve,mills,f,63,5/11/1957, 28  saffron  drive  caroline  chisolm ,currimundi,4551,qld, 07  7000  6409 ,mills27@hotmail.com,bachelor-degree,other-technician,123534, 4886  7942  6179  7184 ,44,2020-06-14t14:01+00:00
R47568111,h111785614,lynda,,battle,f,34,28/7/1986, 31  hazel  grove  reghaven  house ,ridgehaven,5097,sa, 08  0714  3604 ,battle100@gmail.com,certificate-iii,other-technician,84365, 4531  9743  7535  8560 ,15,2020-06-12t21:08+00:00
R42778186,e148867127,james,dewayne,young,f,36,19/11/1984, 256  stenner  street  garden  settlement ,toowoomba,4350,qld, 07  8527  6919 ,james.young@yahoo.com,senior-secondary-school,farm-worker,, 6628  6905  2218  2547 ,6,2009-03-21t13:50+00:00
R26416938,c119366248,james,lamont,hardy,m,32,10/12/1988, 1  oenpelli  street  community  oenpelli ,oenpelli,0822,nt, 08  7462  8187 ,james85@mail.com.au,secondary-school,machinary-driver,, 9662  9602  6215  9573 ,13,2020-01-20t02:30+00:00
R84598895,g159898548,evan,h,tucker,m,52,23/8/1968, 100  brisbane  road  labrador  park  medical  centre ,labrador,4215,qld, 07  6151  9907 ,evan58@mail.com,bachelor-degree,health-professional,132436, 5195  2097  1669  2113 ,33,2020-02-27t08:57+00:00
R60578793,e179830765,miranda,maria,ivey,f,14,9/5/2006, 3  oak  avenue  oaklodge , surfers  paradise ,4217,qld, 07  7416  8522 ,ivey76@aol.com,secondary-school,n/a,-9999,n/a,0,2020-07-02t07:38+00:00
R72549191,a149195172,geoffrey,kirby,powell,f,47,23/4/1973, 71  Glenburnie  Road ,Vermont,3133,VIC, 03  9647  1551 ,powell16@mail.com,masters-degree,chief-executive,156775, 0146  8034  1699  7228 ,28,2020-09-14T03:42+00:00
R65453992,d143955629,kenneth,w,goodman,m,61,11/3/1959, 27  arrow  drive  hmas ,coonawarra,0820,nt,,kenneth.goodman@yahoo.com,diploma,other-technician,139604, 8486  1263  0319  3238 ,42,2020-02-02t17:35+00:00
R61837872,i173827816,jennifer,jean,tatum,f,64,24/5/1956, 284  castle  hill  road  kilvinton  village , castle  hill ,2154,nsw, 02  3740  1758 ,,graduate-certificate,ict-professional,-9999, 7722  4098  2501  8178 ,45,2020-04-03t04:56+00:00
R58648782,g174885682,richard,lamont,moore,f,58,9/1/1962, 55  french  street  bowen  therapy  academy ,hamilton,3300,vic, 03  0745  8726 ,,certificate-i,personal-services-worker,, 4700  0434  7904  4138 ,39,2020-03-15t13:59+00:00
R81901082,d100828119,abbey,michelle,humphrey,f,72,26/6/1948, 33  thornton  street  thornton  towers , surfers  paradise ,4217,qld, 07  2884  6380 ,abbey.humphrey@mail.com.au,diploma,other-technician,103308, 7492  5061  2201  8675 ,53,2020-01-19t08:02+00:00
R06213365,i162503163,robert,bradley,weis,m,79,10/3/1941, 97  birch  road  adelene  retirement  village ,wyoming,2250,nsw, 02  8421  1494 ,,diploma,re-tired,0, 4401  0232  3558  0426 ,45,2019-05-22t10:02+00:00
R40372334,b143340732,caleb,,luffman,m,56,27/7/1961, 38  Gumnut  Road ,Cherrybrook,2126,NSW, 02  6182  1223 ,,certificate-iii,other-technician,71204, 8210  5873  8938  3808 ,38,2015-05-01T03:03+00:00
R32017913,c101217339,amanda,rose,delgado,f,55,24/1/1965, 12  birch  road  adelene  village ,wyoming,2250,nsw, 02  9451  6083 ,,senior-secondary-school,construction-labourer,-9999, 8757  2854  5986  2806 ,36,2020-05-27t22:39+00:00
R83101242,e103421128,elbert,,hollar,m,62,5/1/1958, 49  farmer  avenue  wungong  estate ,brookdale,6112,wa, 08  3965  1106 ,elbert.hollar@mail.com,diploma,engineering-worker,, 9956  6412  1775  8551 ,43,2020-07-25t02:51+00:00
R62722673,g166327722,katherine,tinile,thommes,f,21,22/4/1996, 82  Silverdale  Road ,Silverdale,2752,NSW, 02  4190  0405 ,katherine69@aol.com,secondary-school,looking-for-employment,1786, 2743  2487  0529  7121 ,5,2017-10-06T23:35+00:00
R40448225,d180442542,joe,d,holcombe,f,58,29/11/1962, 95  alma  road  flt  4 , st  kilda  east ,3183,vic, 03  9495  8635 ,holcombe.joe@mail.com,certificate-iii,other-technician,81518, 6520  7110  6737  7584 ,39,2020-06-15t24:17+00:00
R30945655,e145356509,jeffrey,john,vogel,f,40,4/9/1980, 41  port  rush  parade  raafa  estate , meadow  springs ,6210,wa, 08  2550  3296 ,jeffrey46@mail.com,senior-secondary-school,personal-assistant,48746, 1499  6035  8143  7786 ,21,2020-01-09t17:15+00:00
R01052522,b151002522,roy,,corey,f,45,29/11/1975, 14  McNamara  Place , Tindal  Raaf ,0853,NT, 08  1618  3422 ,corey.roy@yahoo.com,certificate-i,personal-assistant,37681, 6860  4542  6428  0463 ,24,2018-10-05T05:53+00:00
R16356065,d160155366,claudia,wood,dauerer,f,46,29/10/1974, 9  cavenagh  street  national  mutual  centre ,darwin,0800,nt, 08  7348  9670 ,claudia77@mail.com.au,senior-secondary-school,other-clerical-worker,36547, 1880  9422  2762  0948 ,26,2019-02-05t19:42+00:00
R29081434,c114204983,william,dewey,alexander,m,33,31/3/1987, 1  christmas  creek  road  southland  alpacas ,laravale,4285,qld, 07  9368  2998 ,alexander40@mail.com,advance-diploma,ict-professional,134921, 7693  2255  6179  8785 ,14,2020-03-16t14:12+00:00
R57796444,i164574479,alla,pressley,lupton,f,22,21/7/1997, 54  Excelsior  Drive , Frankston  North ,3200,VIC, 03  7590  3864 ,qhpcfgfbao@mail.com,graduate-diploma,education-professional,-9999, 6727  1503  2143  9308 ,4,2019-11-16T21:25+00:00
R45948159,d195541489,phyllis,l,sterne,f,57,22/3/1963, 59  pakington  street  house  1 , st  kilda ,3182,vic, 03  8058  2012 ,sterne98@gmail.com,certificate-iii,construction-worker,91924, 8969  5690  3875  4905 ,38,2020-05-18t23:18+00:00
R97867010,b181069707,margelene,m,sanchez,f,45,1/3/1975, 56  ross  lane  sanctuary  village , lennox  head ,2478,nsw, 02  7693  1899 ,sanchez96@gmail.com,certificate-iii,other-technician,89978, 0637  4217  8698  1207 ,23,2017-08-16t23:27+00:00
R72563040,b135470620,jonathan,paul,brown,f,13,22/10/2007, 23  esplanade  street  white  house , somerton  park ,5044,sa, 08  2511  9371 ,jonathan57@yahoo.com,secondary-school,n/a,0,n/a,0,2020-06-01t07:57+00:00
R20623481,d132218640,ronald,garland,myrick,m,73,23/8/1947, 334  ryans  road  wyandah , the  lagoon ,2795,nsw, 02  0173  8301 ,msopqtodjn@yahoo.com,advance-diploma,legal-professional,, 0889  9143  0695  0090 ,53,2019-07-14t02:40+00:00
R54521710,g150172154,carly,n,watts,f,33,22/6/1987, 76  the  grove  flt  5 ,coburg,3058,vic, 03  5119  6403 ,watts.carly@mail.com.au,certificate-i,health-support-worker,39274, 4856  7863  1604  7582 ,12,2018-07-08t10:20+00:00
R16911693,d191169136,selena,alicecolvin,lisko,f,31,12/4/1989, 72  sextonville  road  riverdell ,casino,2470,nsw,,selena45@mail.com,certificate-iv,ict-technician,123319, 9966  8006  2359  1562 ,8,2016-12-13t17:31+00:00
R86222268,a162682282,johnny,patrick,barnett,m,71,13/1/1949, 7  lake  court  palm  lake  resort ,bethania,4205,qld, 07  7678  7611 ,,doctoral-degree,ict-professional,105585, 2774  8401  8183  3351 ,51,2019-08-09t03:05+00:00
R77143345,h173754314,christopher,brandon,apple,f,24,29/12/1996, 100  steer  road  beauchamp  street ,kerang,3579,vic, 03  2921  8814 ,apple30@hotmail.com,diploma,construction-worker,73762, 4804  1854  3513  6457 ,5,2020-04-06t23:55+00:00
R53125166,f151513626,kelsie,,mallard,m,59,5/11/1959, 15  Allan  Street , Nyah  West ,3595,VIC, 03  3155  9155 ,kelsie3@yahoo.com,senior-secondary-school,personal-assistant,36723, 9814  9176  0382  5355 ,41,2017-11-10T23:28+00:00
R21740618,d121064187,jeffrey,,davenport,m,55,31/1/1965, 99  coolalie  road  dunrovin ,jerrawa,2582,nsw, 02  3858  8821 ,davenport100@mail.com,senior-secondary-school,factory-worker,13831, 3037  4597  9573  3566 ,34,2018-07-15t07:11+00:00
R14278900,d117280904,sheila,,coggins,f,70,18/9/1950, 48  the  mall  paspalis  centrepoint ,darwin,0800,nt, 08  7124  5726 ,coggins.sheila@yahoo.com,graduate-certificate,chief-executive,, 8151  1214  0015  1425 ,51,2020-03-03t10:55+00:00
R66886779,a186896677,forest,,poudrier,f,56,4/7/1962, 10  Fawkner  Court , Mill  Park ,3082,VIC, 03  2186  7397 ,poudrier52@aol.com,certificate-iv,other-worker,-9999, 1324  9910  8762  9586 ,38,2017-01-05T10:13+00:00
R12186515,e168511215,mark,jeffrey,campbell,f,48,12/8/1972, 1  wollombi  road  sanford  vale , bishops  bridge ,2326,nsw,,mark.campbell@yahoo.com,senior-secondary-school,taxi-driver,10432, 5091  4291  1977  9365 ,25,2016-05-15t13:09+00:00
R41155006,a106550141,walter,delany,hyatt,f,46,12/9/1974, 70  geddes  road  barnaline , hodgson  vale ,4352,qld, 07  0653  6322 ,walter.hyatt@hotmail.com,diploma,other-technician,125948, 0351  1748  6089  0836 ,27,2020-04-13t17:15+00:00
R19084729,e190891274,robert,allen,pope,m,34,23/11/1986, 2  monash  crescent  sth-east  flats ,clayton,3168,vic, 03  6758  5996 ,robert.pope@yahoo.com,bachelor-degree,other-technician,-9999, 6414  3673  0339  0669 ,15,2020-05-16t08:37+00:00
R04896472,f187492046,roy,steven,brown,m,4,7/12/2013, 140  Seventh  Avenue , Eden  Park ,3757,VIC, 03  9351  0812 ,hkgtpqsabs@hotmail.com,primary-school,n/a,-9999,n/a,0,2017-02-02T21:20+00:00
R34575604,h137655044,anna,nicole,merideth,f,25,23/8/1995, 250  baltimore  parade  raafa  estate ,merriwa,6030,wa, 08  1678  1673 ,anna.merideth@aol.com,masters-degree,ict-professional,, 3029  0769  8957  3822 ,6,2020-07-16t01:56+00:00
R19872149,a198412917,sharon,albert,wiles,f,65,25/5/1955, 40  parap  road  finance  house ,darwin,0800,nt, 08  7488  2619 ,wiles80@gmail.com,senior-secondary-school,other-labourer,11420, 1564  2640  9579  3218 ,46,2020-03-19t12:13+00:00
R94752267,f172274596,patricia,b,ludwig,f,65,20/10/1955, 38  alfred  street  apt  2002 , milsons  point ,2061,nsw, 02  4069  4225 ,,advance-diploma,education-professional,119993, 5592  6009  2173  4613 ,41,2015-06-24t17:02+00:00
R95443019,a109594134,roger,micha,white,f,38,23/4/1982, 240  duranbah  road  dunnara  farm ,duranbah,2487,nsw, 02  8880  4577 ,ifrligsdar@aol.com,certificate-iii,construction-worker,-9999, 2800  0482  3355  8856 ,17,2018-11-06t05:50+00:00
R47527359,c125543779,danielle,ursula,washer,f,62,14/1/1955, 31  evernden  lane  ruah ,perthville,2795,nsw, 02  3647  6274 ,washer58@mail.com,diploma,ict-technician,102834, 1032  1565  4034  3772 ,46,2017-11-14T17:12+00:00
R39673822,b197628233,clyde,kip,buchanan,m,59,20/8/1961, 1  james  cook  drive  ocean  free  estate , kewarra  beach ,4879,qld,,,bachelor-degree,legal-professional,129034, 8338  9538  7398  9679 ,40,2020-07-10t05:11+00:00
R87438921,e189274831,annette,lenette,candy,f,38,2/2/1982, 90  avoca  drive  kincumber  medical  cntre ,kincumber,2251,nsw, 02  3829  9277 ,,senior-secondary-school,taxi-driver,12224, 8613  7043  5318  7672 ,19,2020-06-22t20:24+00:00
R85904272,b189247205,john,,bolick,m,7,10/9/2009, 11  Chandler  Street ,Belconnen,2617,ACT,,ooadpeipbc@yahoo.com,primary-school,n/a,-9999,n/a,0,2016-06-24T22:35+00:00
R06659317,g131975660,johnny,r,godfrey,m,26,16/7/1993, 62  Andrew  Thompson  Drive , Mcgraths  Hill ,2756,NSW, 02  5215  5495 ,johnny.godfrey@hotmail.com,bachelor-degree,education-professional,90143, 9082  4369  5788  9760 ,6,2017-05-05T13:42+00:00
R84034171,a110173448,roger,lesley,marsh,f,62,25/12/1958, 89  beach  street  aptmnt  240 , port  melbourne ,3207,vic, 03  7840  4165 ,marsh32@yahoo.com,certificate-i,secretary,, 7082  5709  9309  8397 ,41,2018-03-12t07:12+00:00
R13861210,d106118312,eva,lynn,herzberg,f,56,24/9/1964, 1283  east  tamar  highway  glengarif ,dilston,7252,tas, 03  3993  5710 ,eva.herzberg@aol.com,bachelor-degree,art-media-professional,92187, 7479  4861  3183  0671 ,37,2020-05-14t20:11+00:00
R27332179,i171293327,ryann,ray,melgar,f,66,26/4/1954, 5  dakkabin  street  raaf  base ,darwin,0800,nt, 08  5705  4728 ,lqrnsqejck@mail.com.au,bachelor-degree,ict-professional,-9999, 8941  3795  9152  5388 ,47,2020-04-13t18:37+00:00
R73963699,i173699639,demetrius,,dresback,m,21,30/1/1999, 10  charles  street  oak-lodge ,cygnet,7112,tas, 03  6201  8045 ,,certificate-ii,personal-services-worker,, 8294  5454  3456  4963 ,2,2020-07-04t18:38+00:00
R78307515,h171785350,wayne,e,mingacci,m,64,13/4/1954, 48  Growse  Street ,Yarram,3971,VIC, 03  6569  5755 ,,certificate-ii,engineering-worker,83429, 7672  7594  9914  9194 ,47,2018-02-05T12:17+00:00
R52130173,e107533211,james,lamont,penn,m,13,27/3/2007, 79  main  street  bushland  caravn  park ,wooli,2462,nsw, 02  5404  5554 ,kgtjipsmja@yahoo.com,secondary-school,n/a,0,n/a,0,2020-07-09t10:46+00:00
R90087072,h102789070,farris,matthew,kozlowski,m,58,28/5/1962, 23  temperley  street  villa  25  melaleuca  garden ,nicholls,2913,act, 02  3197  9894 ,,certificate-ii,automotive-worker,73353, 3109  2366  8218  7874 ,39,2020-02-09t01:36+00:00
R89480787,a189747088,jerome,d,roberts,m,73,9/8/1944, 5  Pelman  Avenue ,Greenacre,2190,NSW, 02  8658  9175 ,rpdbeafebo@mail.com,secondary-school,re-tired,0, 4183  4752  8117  0932 ,45,2017-07-08T09:28+00:00
R81150295,h115201589,kacey,christopher,erazo,f,56,14/2/1964, 3  fort  king  road  paynesville  nursing  home ,paynesville,3880,vic, 03  6745  9369 ,erazo.kacey@yahoo.com,certificate-ii,engineering-worker,93169, 5987  1369  3959  2530 ,37,2020-04-12t20:48+00:00
R69651401,b115069164,virginia,flora,depolo,f,85,5/2/1935, 271  upper  piambong  road  apple  tree  flats ,mudgee,2850,nsw, 02  2749  2451 ,depolo17@aol.com,diploma,re-tired,0, 1967  3743  7228  2567 ,45,2020-03-12t02:53+00:00
R74859953,g195975834,telia,katherine,wilson,f,70,8/10/1950, 25  paas  place  the  village  condo ,williamstown,3016,vic, 03  7249  5907 ,wilson.telia@gmail.com,graduate-certificate,health-professional,121474, 1633  1928  3325  7113 ,51,2020-02-11t15:12+00:00
R42126513,e152136142,donald,winston,walters,m,72,2/5/1948, 190  marble  hill  road  balaro ,goulburn,2580,nsw, 02  0563  2982 ,donald95@mail.com,certificate-iii,other-worker,, 1557  1430  1887  2592 ,53,2020-05-20t09:05+00:00
R98849038,i189908384,barry,owen,sale,f,56,5/2/1964, 16  rosewood  road  goanna  flats ,sapphire,4702,qld, 07  3755  1510 ,barry98@aol.com,certificate-iii,other-technician,129300, 1464  8201  1790  5886 ,37,2020-05-20t05:42+00:00
R59925140,d105294591,jeffrey,leon,mickey,f,67,25/2/1953, 39  dempsey  street  old  peel  post  office ,peel,2795,nsw,,jeffrey.mickey@mail.com.au,advance-diploma,health-professional,121059, 8868  2971  8141  8164 ,46,2018-08-03t06:01+00:00
R80399928,b199938280,matthew,,terry,m,10,10/11/2010, 237  boorcan  road  ballinderry ,terang,3264,vic, 03  4575  7303 ,iormtjjddl@aol.com,primary-school,n/a,0,n/a,0,2020-06-07t17:48+00:00
