rec_id_edu,ssn,first_name_edu,middle_name_edu,last_name_edu,gender_edu,current_age,birth_date_edu,street_address_edu,suburb_edu,postcode_edu,state_edu,phone_edu,email_edu,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,rec_id_med,first_name_med,middle_name_med,last_name_med,gender_med,age_at_consultation,birth_date_med,medicare_number,street_address_med,suburb_med,postcode_med,state_med,phone_med,email_med,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
R94760994,g197044699,jennifer,h,mangum,f,8.0,13/5/2008, 44  Castley  Circuit ,Kambah,2902.0,ACT, 02  8576  2581 ,whiteside.jennifer@yahoo.com,secondary-school,,0.0,,0.0,2016-09-03T05:50+00:00,rec-32158,jennifer,h,whiteside,f,5.0,13/5/2008, 5474  52457  2  2 , 26  pope  road  hmas  cerberus ,mornington,3931.0,vic, 03  1601  1620 ,,,104.0,22.0,20.34023668639053,75.0,140.0,0.0,vertigo,2013-10-11t05:34+00:00
R14788541,e114818457,bryce,ray,hickson,f,35.0,31/12/1985, 29  cavenagh  street  chin  arcade ,darwin,800.0,nt, 08  1676  3075 ,bryce77@yahoo.com,diploma,construction-worker,, 5108  7756  9080  6037 ,16.0,2020-02-25t05:36+00:00,rec-84207,bryce,ray,hickson,f,29.0,31/12/1985, 9815  54074  1  2 , 201  empire  bay  drive  nautical  vlge ,kincumber,2251.0,nsw,,bryce77@yahoo.com,married-de-facto,179.0,118.0,36.827814362847604,71.0,125.0,1.0,dizziness,2014-06-04t01:28+00:00
R70979804,i197908047,grace,michelle,chadwick,f,29.0,25/6/1991, 131  newlands  drive  windsong ,paynesville,3880.0,vic, 03  2046  5169 ,grace91@mail.com.au,advance-diploma,ict-technician,92331.0, 0660  5616  7698  2085 ,8.0,2018-02-24t18:43+00:00,rec-16226,grace,,chadwick,f,26.0,25/6/1991, 1421  82703  2  1 , 131  newlands  drive  windsong ,paynesville,,vic,,,not-married,178.0,99.0,31.246054791061734,76.0,109.0,0.0,bilateral-rib-pain,2017-08-01t05:23+00:00
R17227012,g112072127,terry,dean,maynard,m,25.0,18/6/1995, 7  keith  lane  level  one , fannie  bay ,820.0,nt, 08  0255  7099 ,cdaegpsjrb@mail.com.au,graduate-diploma,education-professional,133661.0, 5694  2137  6000  9052 ,6.0,2020-01-08t17:57+00:00,rec-29895,terry,dean,maynard,f,21.0,18/6/1995, 6866  35192  2  3 , 695  lower  north  east  road  falcon  lodge ,paradise,5075.0,sa,,,not-married,193.0,99.0,26.577894708582782,76.0,193.0,0.0,anxiety,2016-04-19t17:53+00:00
R53244579,h125347594,darryn,justin,carter,f,63.0,18/5/1957, 7  viscount  close  villa  1 , shelly  beach ,2261.0,nsw, 02  7247  2278 ,darryn.carter@mail.com.au,graduate-certificate,art-media-professional,128956.0, 1357  9417  8235  4587 ,44.0,2020-03-12t11:44+00:00,rec-84444,darryn,justin,carter,f,57.0,18/5/1957, 4675  21112  1  2 , 7  viscount  close  villa  1 , shelly  beach ,,nsw, 02  7247  2278 ,darryn.carter@mail.com.au,not-married,185.0,111.0,32.43243243243243,79.0,264.0,1.0,palpitations,2014-06-04t22:38+00:00
R01173981,i187391011,helen,springer,upcraft,f,40.0,27/7/1980, 136  whittons  road  black  forest ,kettering,7155.0,tas,,upcraft63@gmail.com,graduate-diploma,manager,, 6163  9940  0790  6798 ,20.0,2019-08-24t19:24+00:00,rec-14298,helen,springer,upcraft,f,33.0,27/7/1980, 1325  23599  2  1 , 400  main  road  northumbria ,jericho,7030.0,tas,,,married,177.0,116.0,37.02639726770723,72.0,71.0,0.0,depressed-mood-once-in-a-while,2013-10-09t16:15+00:00
R64543768,h136857446,amelia,lee,todd,f,11.0,22/8/2009, 66  blowering  road  wunelli ,tumut,2720.0,nsw, 02  8358  2719 ,amelia.todd@mail.com,primary-school,,0.0,,0.0,2020-04-11t18:06+00:00,rec-41837,amelia,lee,todd,f,8.0,22/8/2009, 2940  20333  1  2 , 66  blowering  road  wunelli ,tumut,2720.0,nsw,,,,129.0,34.0,20.4314644552611,70.0,258.0,0.0,depression,2017-12-06t05:32+00:00
R24681265,f162124568,darion,allen,falls,m,53.0,16/8/1967, 40  james  street  big  b  arcade , burleigh  heads ,4220.0,qld, 07  1425  2722 ,darion.falls@mail.com.au,secondary-school,shop-assistent,7730.0, 6548  3904  3645  6879 ,34.0,2020-03-25t11:56+00:00,rec-17060,darion,allen,falls,m,46.0,16/8/1967, 2482  68049  2  1 , 2  north  street  oasis  resort , golden  beach ,,qld,,darion.falls@mail.com.au,married,194.0,103.0,27.367414177914764,74.0,236.0,0.0,moist-cough,2013-04-21t04:29+00:00
R31223116,b132123611,charles,aaron,palmer,f,56.0,26/8/1964, 24  parkinson  street  weston  creek  health  centre ,weston,2611.0,act, 02  6705  8163 ,palmer.charles@gmail.com,advance-diploma,legal-professional,, 7443  9836  2413  4715 ,36.0,2019-10-16t02:11+00:00,rec-79766,charles,aaron,palmer,f,53.0,26/8/1964, 2829  31228  1  2 , 24  parkinson  street  weston  creek  health  centre ,weston,,act,,palmer.charles@gmail.com,married,167.0,99.0,35.49786654236437,74.0,251.0,0.0,pneumonia,2017-07-05t14:54+00:00
R14603957,h170395614,megan,lynn,goodes,f,61.0,31/5/1959, 95  wades  road  little  brown  house ,caboolture,4510.0,qld, 07  4936  3150 ,megan78@hotmail.com,graduate-diploma,art-media-professional,82798.0, 6858  0330  5286  4432 ,37.0,2015-04-01t15:37+00:00,rec-49932,megan,lynn,goodes,f,59.0,31/5/1959, 7890  18830  1  1 , 95  wades  road  little  brown  house ,caboolture,4510.0,qld,,,not-married,180.0,122.0,37.654320987654316,82.0,161.0,0.0,ankle-swelling,2018-06-07t19:45+00:00
R64197305,h170395614,megan,lynn,goodes,f,58.0,31/5/1959, 2  Brears  Road ,Yarrawonga,3730.0,VIC,,megan78@hotmail.com,graduate-diploma,art-media-professional,82798.0, 6858  0330  5286  4432 ,37.0,2012-08-10T17:05+00:00,rec-49932,megan,lynn,goodes,f,59.0,31/5/1959, 7890  18830  1  1 , 95  wades  road  little  brown  house ,caboolture,4510.0,qld,,,not-married,180.0,122.0,37.654320987654316,82.0,161.0,0.0,ankle-swelling,2018-06-07t19:45+00:00
R39058189,c189809315,harry,wayne,withers,f,63.0,2/9/1957, 130  georges  road  horton  vale ,ceres,3221.0,vic, 03  7426  9849 ,withers46@mail.com,certificate-i,personal-assistant,36704.0, 1057  2869  7391  6557 ,44.0,2020-07-18t04:54+00:00,rec-88634,harry,wayne,withers,m,58.0,2/9/1957, 2094  25289  1  2 , 1  goulburn  valley  highway  ostrich  farm ,nagambie,3608.0,vic, 03  5957  8908 ,withers46@mail.com,not-married,181.0,103.0,31.43982173926315,72.0,157.0,0.0,diarrhea,2015-02-04t20:38+00:00
R73066286,b168320667,thierry,black,hamrick,f,17.0,4/12/2003, 37  seymour  avenue  chippendale  village ,modbury,5092.0,sa, 08  6175  0625 ,lndfpfimeq@hotmail.com,senior-secondary-school,casual-worker,0.0, 2733  5556  7050  0208 ,2.0,2020-01-04t16:27+00:00,rec-81617,thierry,black,hamrick,f,12.0,4/12/2003, 8495  42526  1  3 , 3  meander  avenue  jane  eliza ,renmark,5341.0,sa, 08  6175  0625 ,lndfpfimeq@hotmail.com,,158.0,57.0,22.832879346258608,72.0,118.0,0.0,abdominal-discomfort-due-to-gall-bladder-stones,2015-10-04t20:46+00:00
R72817679,e177798621,connie,s,holmes,f,77.0,21/6/1943, 6259  broken  hills  drive  araucaria  precinct , sanctuary  cove ,4212.0,qld, 07  8625  8021 ,bhjemfagha@gmail.com,advance-diploma,re-tired,0.0, 3251  9565  7126  9931 ,45.0,2020-05-16t02:57+00:00,rec-8215,connie,s,holmes,f,70.0,21/6/1943, 5597  72509  2  1 , 6259  broken  hills  drive  araucaria  precinct , sanctuary  cove ,4212.0,qld,,bhjemfagha@gmail.com,widowed,179.0,142.0,44.31821728410474,78.0,217.0,0.0,left-thumb-numb,2013-02-21t02:09+00:00
R25586781,b156287158,virginia,craft,fielding,f,66.0,22/2/1954, 790  yan  yean  road  cara  hill ,doreen,3754.0,vic, 03  6732  6568 ,virginia.fielding@hotmail.com,certificate-ii,construction-worker,74799.0, 1962  7084  9839  0301 ,46.0,2019-06-20t11:16+00:00,,,,,,,,,,,,,,,,,,,,,,,
R04638500,e150360048,victor,brian,gittings,f,52.0,27/1/1968, 785  back  eildon  road  blackridge  flyfishing  school ,eildon,3713.0,vic, 03  8054  0641 ,victor56@gmail.com,certificate-iv,other-worker,57664.0, 0058  0361  4400  5440 ,33.0,2020-03-22t07:36+00:00,rec-77733,victor,brian,gittings,f,49.0,27/1/1968, 4265  51747  1  1 , 785  back  eildon  road  blackridge  flyfishing  school ,eildon,3713.0,vic, 03  8054  0641 ,victor56@gmail.com,not-married,178.0,145.0,45.7644236838783,80.0,153.0,0.0,insomnia,2017-07-11t13:16+00:00
R43173903,g103149337,kimberly,,kivett,f,9.0,3/7/2011, 49  augusta  road  calvary  hospital  marian  hse , lenah  valley ,7008.0,tas, 03  2482  9241 ,kivett66@hotmail.com,primary-school,,0.0,,0.0,2020-02-23t16:31+00:00,rec-50221,kimberly,theresa,kivett,m,9.0,3/7/2011, 2143  54601  2  2 , 49  augusta  road  calvary  hospital  marian  hse , lenah  valley ,7008.0,tas,,,,126.0,44.0,27.71478961955152,68.0,225.0,0.0,fingers-numbing,2020-05-27t14:09+00:00
R15789301,e191037158,david,l,franklin,m,27.0,30/4/1993, 11  araucaria  way  pine  lake  village ,elanora,4221.0,qld, 07  1840  1002 ,franklin.david@mail.com,graduate-diploma,health-professional,126291.0, 4383  6052  5403  3621 ,8.0,2020-05-10t20:07+00:00,rec-53946,david,l,franklin,m,25.0,30/4/1993, 7382  14743  2  2 , 11  araucaria  way  pine  lake  village ,elanora,4221.0,qld, 07  1840  1002 ,franklin.david@mail.com,separated,196.0,137.0,35.662224073302795,76.0,135.0,0.0,musculoskeletal-pain,2018-07-03t10:03+00:00
R83493915,b154391938,maggie,drye,keever,f,37.0,12/10/1983, 78  burnett  street  cascade  glen ,buderim,4556.0,qld, 07  9309  9084 ,frroqrplsn@hotmail.com,graduate-diploma,education-professional,9999.0, 4952  7992  9391  5843 ,16.0,2018-05-25t06:59+00:00,rec-20609,maggie,drye,keever,f,35.0,12/10/1983, 2094  36333  1  1 , 78  burnett  street  cascade  glen ,buderim,4556.0,qld, 07  9309  9084 ,frroqrplsn@hotmail.com,not-married,173.0,143.0,47.77974539744061,72.0,158.0,1.0,vomiting,2018-08-13t17:28+00:00
R44839197,c181974934,loel,franklin,courtney,f,60.0,8/7/1960, 120  piggabeen  road  cobaki  broadwater  village , tweed  heads  south ,2486.0,nsw, 02  7980  7638 ,dqcesloqfi@aol.com,secondary-school,un-employed,1559.0, 6861  0148  9786  8164 ,41.0,2020-01-15t08:34+00:00,rec-74231,loel,franklin,courtney,m,54.0,8/7/1960, 2869  80083  1  2 , 2  slater  street  apt  202 ,melbourne,,vic, 03  0059  7002 ,dqcesloqfi@aol.com,not-married,175.0,61.0,19.918367346938776,75.0,145.0,0.0,abdominal-discomfort,2014-04-20t22:02+00:00
R82387510,c125887031,jeffrey,mckinley,caran,m,32.0,17/10/1988, 27  moore  street  ormond  street , caulfield  south ,3162.0,vic,,caran93@mail.com,certificate-i,personal-services-worker,50905.0, 3004  0316  3535  2353 ,13.0,2020-07-09t13:11+00:00,rec-737,jeffrey,mckinley,caran,m,29.0,17/10/1988, 9022  71699  1  2 , 27  moore  street  ormond  street , caulfield  south ,3162.0,vic, 03  9966  8197 ,,not-married,173.0,99.0,33.07828527515119,75.0,122.0,1.0,contact-dermatitis,2017-09-13t16:06+00:00
R04446101,b100464411,michael,worth,ballard,f,55.0,18/4/1965, 12  goulburn  peninsula  pnsla , sylvania  waters ,2224.0,nsw, 02  4098  0706 ,michael11@mail.com,senior-secondary-school,taxi-driver,14920.0, 3048  8976  4818  0022 ,31.0,2015-10-18t01:47+00:00,rec-92264,michael,worth,ballard,f,48.0,18/4/1965, 9390  72231  2  2 , 12  goulburn  peninsula  pnsla , sylvania  waters ,2224.0,nsw, 02  4098  0706 ,,not-married,189.0,79.0,22.11584222166233,83.0,184.0,0.0,elevated-triglycerides,2015-02-05t16:11+00:00
R56002633,g163360205,john,,mcnair,f,19.0,3/12/2001, 868  old  calder  highway  keilor  retirement  village ,keilor,3036.0,vic, 03  9325  4064 ,john99@yahoo.com,senior-secondary-school,machinary-driver,, 2303  8204  0665  9108 ,0.0,2020-05-01t04:17+00:00,rec-98991,john,yates,mcnair,m,13.0,3/12/2001, 2485  90301  2  2 , 207  forest  way  glenaeon  ret  village ,belrose,2085.0,nsw,,john99@yahoo.com,not-married,163.0,50.0,18.818924310286427,75.0,196.0,0.0,sinus-infection,2014-12-26t07:15+00:00
R78156397,a191867537,luelle,correll,shepard,f,62.0,25/10/1958, 1  wattle  avenue  rowethorpe ,bentley,6102.0,wa, 08  1811  0309 ,luelle94@gmail.com,diploma,ict-technician,140544.0, 6819  3002  1648  7027 ,43.0,2020-06-07t06:33+00:00,rec-63433,luelle,correll,shepard,f,59.0,25/10/1958, 7421  44346  1  2 , 1  wattle  avenue  rowethorpe ,bentley,6102.0,wa,,luelle94@gmail.com,married,173.0,112.0,37.421898493100336,75.0,158.0,0.0,retinal-vein-occlusion--l-eye,2017-09-19t17:15+00:00
R08279195,a127995108,jimmy,keith,bell,f,24.0,24/12/1996, 90  birch  road  adeline  retirement  vlge ,wyoming,2250.0,nsw, 02  0220  6450 ,qnsenkdoje@gmail.com,bachelor-degree,ict-professional,, 1077  4259  9698  9647 ,5.0,2020-05-05t23:06+00:00,rec-75770,jimmy,,bell,f,15.0,24/12/1996, 3718  69571  2  3 , 110  biffins  road  raleigh  park , mount  hunter ,2570.0,nsw,,qnsenkdoje@gmail.com,not-married,165.0,80.0,29.384756657483933,73.0,95.0,0.0,low-back-pain,2011-09-05t10:58+00:00
R57214579,g145775219,michelle,brown,rucker,f,29.0,12/11/1991, 114  moreys  road  araglen ,brucknell,3268.0,vic, 03  5308  4456 ,michelle.rucker@aol.com,certificate-i,carer,, 8584  9915  0627  0639 ,10.0,2020-02-26t11:11+00:00,rec-10993,michelle,,rucker,f,26.0,12/11/1991, 1975  91728  2  1 , 114  moreys  road  araglen ,brucknell,3268.0,vic, 03  5308  4456 ,michelle.rucker@aol.com,married,183.0,79.0,23.589835468362743,76.0,139.0,0.0,dizziness,2017-02-17t21:12+00:00
R42719557,g145775219,michelle,brown,rucker,f,29.0,12/11/1991, 114  moreys  road  araglen ,brucknell,3268.0,vic, 03  5308  4456 ,michelle.rucker@aol.com,certificate-i,carer,57349.0, 8584  9915  0627  0639 ,10.0,2020-02-26t11:11+00:00,rec-10993,michelle,,rucker,f,26.0,12/11/1991, 1975  91728  2  1 , 114  moreys  road  araglen ,brucknell,3268.0,vic, 03  5308  4456 ,michelle.rucker@aol.com,married,183.0,79.0,23.589835468362743,76.0,139.0,0.0,dizziness,2017-02-17t21:12+00:00
R88105607,i158670180,james,carl,sexton,m,55.0,6/3/1964, 175  Bridgemary  Crescent , Humpty  Doo ,836.0,NT, 08  6256  1409 ,james81@gmail.com,senior-secondary-school,other-clerical-worker,40327.0, 9537  1457  5860  8057 ,37.0,2019-02-13T19:57+00:00,rec-29037,james,carl,sexton,m,54.0,6/3/1964, 9756  18908  2  2 , 243  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  6990  1561 ,james81@gmail.com,married-de-facto,175.0,120.0,39.183673469387756,73.0,159.0,0.0,musculoskeletal-pain,2018-01-20t09:42+00:00
R60701588,i158670180,james,carl,sexton,m,56.0,6/3/1964, 243  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  6990  1561 ,james81@gmail.com,senior-secondary-school,other-clerical-worker,, 9537  1457  5860  8057 ,37.0,2020-06-22t06:46+00:00,rec-29037,james,carl,sexton,m,54.0,6/3/1964, 9756  18908  2  2 , 243  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  6990  1561 ,james81@gmail.com,married-de-facto,175.0,120.0,39.183673469387756,73.0,159.0,0.0,musculoskeletal-pain,2018-01-20t09:42+00:00
R93799579,g179939795,ada,danielle,hollodick,f,52.0,3/9/1968, 17  johns  road  homeland  caravn  park ,wyong,2259.0,nsw,,ada.hollodick@mail.com,diploma,construction-worker,70006.0, 1090  4860  1645  7152 ,33.0,2020-05-08t08:54+00:00,rec-20882,ada,danielle,hollodick,f,46.0,3/9/1968, 6353  56469  1  2 , 7  deakin  street  old  post  office ,beckom,,nsw,,,married,170.0,117.0,40.484429065743946,75.0,115.0,0.0,hypertension,2014-10-23t12:19+00:00
R37999795,g179939795,ada,danielle,smith,f,52.0,3/9/1968, Goffage  Road , Mount  Chalmers ,4702.0,QLD, 07  1192  4819 ,ada.hollodick@mail.com,diploma,construction-worker,9999.0, 1090  4860  1645  7152 ,33.0,2020-02-26T08:51+00:00,rec-20882,ada,danielle,hollodick,f,46.0,3/9/1968, 6353  56469  1  2 , 7  deakin  street  old  post  office ,beckom,,nsw,,,married,170.0,117.0,40.484429065743946,75.0,115.0,0.0,hypertension,2014-10-23t12:19+00:00
R09838599,e193895980,brandy,,miller,f,48.0,9/5/1972, 5  river  park  road  governors  resort , port  macquarie ,2444.0,nsw, 02  9523  2036 ,,advance-diploma,ict-technician,132558.0, 4905  0207  1418  5110 ,29.0,2020-06-09t17:48+00:00,rec-66965,brandy,jean,miller,m,40.0,9/5/1972, 8568  32510  2  1 , 63  forest  road  pine  villa ,millthorpe,2798.0,nsw, 02  9523  2036 ,brandy39@aol.com,married,172.0,83.0,28.055705786911847,77.0,172.0,0.0,sciatic-pain,2012-03-15t23:07+00:00
R34581434,i141433458,evonne,,szwec,f,64.0,4/5/1956, 9  cavenagh  street  national  mutual  centre ,darwin,800.0,nt,,szwec.evonne@mail.com.au,certificate-i,other-service-worker,43641.0, 3332  4450  4844  2519 ,43.0,2018-08-04t06:19+00:00,rec-58520,evonne,purdy,szwec,f,58.0,4/5/1956, 1036  35420  1  1 , 349  new  south  head  road  flt  801 , double  bay ,2028.0,nsw, 02  5378  8794 ,,married-de-facto,186.0,105.0,30.350329517863333,68.0,148.0,0.0,pain-in-bottom-of-neck-with-headaches,2014-04-10t08:33+00:00
R49844328,h132848944,douglas,woodrow,phelps,m,43.0,20/6/1977, 1  francis  road  olive  grove ,bordertown,5268.0,sa, 08  5894  2686 ,douglas18@hotmail.com,senior-secondary-school,farm-worker,9999.0, 2339  9487  5823  9426 ,24.0,2020-01-06t15:46+00:00,rec-7367,douglas,woodrow,phelps,m,38.0,20/6/1977, 7027  30418  1  1 , 84  jacaranda  avenue  nareena  nursing  home ,figtree,2525.0,nsw, 02  2470  4429 ,douglas18@hotmail.com,married,182.0,69.0,20.830817534114235,73.0,253.0,0.0,right-carodtid-artery-stenosis,2015-11-05t07:53+00:00
R94257670,g154729706,john,wayne,aiken,f,68.0,11/11/1952, 258  spring  street  yukana  retirement  vlge ,toowoomba,4350.0,qld, 07  1223  0938 ,john.aiken@aol.com,certificate-iii,other-worker,61192.0, 5667  3918  8768  2438 ,40.0,2011-07-14t07:25+00:00,rec-88845,john,wayne,aiken,f,65.0,11/11/1952, 5027  38175  1  2 , 258  spring  street  yukana  retirement  vlge ,toowoomba,4350.0,qld,,john.aiken@aol.com,married-de-facto,190.0,56.0,15.51246537396122,76.0,160.0,0.0,headaches,2017-08-06t04:08+00:00
R03403957,a139004735,ila,j,demarchi-hapeman,f,67.0,16/3/1953, 369  merriwa  road  parkland ,denman,2328.0,nsw, 02  9668  4464 ,mkjcodllbr@mail.com.au,bachelor-degree,ict-technician,137148.0, 6249  8299  5758  6923 ,46.0,2018-08-10t24:38+00:00,rec-31060,ila,j,demarchi-hapeman,f,62.0,16/3/1953, 9699  13306  1  2 , 369  merriwa  road  parkland ,denman,2328.0,nsw,,,not-married,191.0,143.0,39.198486883583236,77.0,139.0,0.0,increasing-fatigue,2015-11-12t23:56+00:00
R46259453,g165459432,frank,d,cashatt,m,36.0,25/10/1984, 280  north  road  pine  lodge , pine  lodge ,3631.0,vic, 03  3473  1240 ,cashatt78@yahoo.com,certificate-i,personal-services-worker,, 1690  3906  6977  9182 ,17.0,2020-02-16t06:12+00:00,rec-13171,frank,d,cashatt,m,33.0,25/10/1984, 2201  92824  2  1 , 280  north  road  pine  lodge , pine  lodge ,3631.0,vic,,cashatt78@yahoo.com,married,184.0,97.0,28.650756143667294,78.0,173.0,0.0,intestinal-virus,2017-05-03t09:02+00:00
R92448591,c128195449,kimberly,l,tuttell,f,42.0,2/10/1976, 10  Potts  Place ,Farrer,2607.0,ACT, 02  5443  4905 ,kimberly.tuttell@hotmail.com,secondary-school,factory-worker,14843.0, 5338  0703  7833  7122 ,24.0,2017-10-18T16:38+00:00,rec-27269,kimberly,l,tuttell,f,43.0,2/10/1976, 8392  13169  2  2 , 84  palace  street  always  inn  children's  centre ,denman,2328.0,nsw, 02  5193  1739 ,,married,168.0,125.0,44.28854875283447,68.0,205.0,1.0,overactive-bladder,2019-11-24t01:09+00:00
R98425491,c128195449,kimberly,l,tuttell,f,44.0,2/10/1976, 84  palace  street  always  inn  children's  centre ,denman,2328.0,nsw, 02  5193  1739 ,kimberly.tuttell@hotmail.com,secondary-school,factory-worker,14843.0, 5338  0703  7833  7122 ,24.0,2019-10-03t03:54+00:00,rec-27269,kimberly,l,tuttell,f,43.0,2/10/1976, 8392  13169  2  2 , 84  palace  street  always  inn  children's  centre ,denman,2328.0,nsw, 02  5193  1739 ,,married,168.0,125.0,44.28854875283447,68.0,205.0,1.0,overactive-bladder,2019-11-24t01:09+00:00
R64529969,f145299966,jasper,louis,ghent,f,14.0,29/11/2006, 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  7047  2784 ,jasper.ghent@gmail.com,secondary-school,,0.0,,0.0,2020-07-26t15:34+00:00,rec-92338,jasper,louis,ghent,f,13.0,29/11/2006, 3879  20894  1  3 , 258  spring  street  yukana  retirement  village ,toowoomba,,qld, 07  7047  2784 ,jasper.ghent@gmail.com,,156.0,99.0,40.68047337278106,76.0,174.0,0.0,right-hip-pain,2019-01-20t22:14+00:00
