rec_id,ssn,first_name,middle_name,last_name,gender,age_at_consultation,birth_date,medicare_number,street_address,suburb,postcode,state,phone,email,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
rec-92338,f145299966,jasper,louis,ghent,f,13,29/11/2006, 3879  20894  1  3 , 258  spring  street  yukana  retirement  village ,toowoomba,,qld, 07  7047  2784 ,jasper.ghent@gmail.com,n/a,156,-99,31,76,174,0,right-hip-pain,2019-01-20t22:14+00:00
rec-25002,h193958899,desiree,cousiamono,carter,m,51,9/11/1968, 6462  40241  1  2 , 95  marcoola  esplanade  marcoola  shores ,marcoola,4564,qld, 07  9389  7139 ,oqtfldsgkr@hotmail.com,married-de-facto,176,85,27,73,261,1,exacerbation-of-chronic-bronchitis,2019-06-27t02:01+00:00
rec-70939,b135961625,robert,mitchell,noah,f,44,1/8/1975, 9090  70927  2  2 , 165  school  road  delaneys  creek ,d'aguilar,4514,qld, 07  7795  7027 ,robert69@hotmail.com,not-married,180,71,21,75,181,0,shakiness,2019-12-01t20:15+00:00
rec-26769,f156291535,charles,james,fisher,m,14,8/12/1999, 9966  58331  1  3 , 21  duffys  road  tingari  vlge ,terrigal,,nsw, 02  9566  7600 ,,not-married,155,55,22,72,142,0,increase-in-chest-pain,2013-07-20t02:17+00:00
rec-49371,a170493733,ashlee,eve,mills,f,62,5/11/1957, 4357  72925  1  1 , 28  saffron  drive  caroline  chisolm ,currimundi,4551,qld,,mills27@hotmail.com,not-married,174,141,46,76,113,0,depressed-mood,2019-12-09t23:07+00:00
rec-41219,h111785614,lynda,,battle,f,28,28/7/1986, 4786  80894  2  1 , 106  maud  street  rosetta  village , victor  harbor ,5211,sa, 08  0714  3604 ,battle100@gmail.com,married,172,99,33,76,268,0,left-eye-blurring,2014-12-27t05:59+00:00
rec-78081,e148867127,james,dewayne,young,f,31,19/11/1984, 5278  35563  2  2 , 256  stenner  street  garden  settlement ,toowoomba,4350,qld,,,married-de-facto,171,64,21,73,275,0,asymptomatic-bradycardia,2015-10-21t20:23+00:00
rec-17975,c119366248,james,,hardy,m,25,10/12/1988, 9251  16625  2  1 , 41  cavenagh  street  plaza  bldg ,darwin,,nt,,,married-de-facto,194,101,26,71,48,0,post-surgical-vomiting,2015-09-04t04:06+00:00
rec-55663,g159898548,evan,h,tucker,m,46,23/8/1968, 3963  49846  2  1 , 161  maroondah  highway  the  hermitage ,narbethong,3778,vic,,evan58@mail.com,divorced,196,121,31,73,160,0,peripheral-neuropathy,2014-11-11t01:27+00:00
rec-67072,e179830765,miranda,maria,ivey,f,9,9/5/2006, 4146  98121  1  3 , 23  granite  street  rose  court  garden ,stanthorpe,4380,qld, 07  7416  8522 ,ivey76@aol.com,n/a,139,32,16,71,222,0,fractured-clavicle,2015-03-27t02:49+00:00
rec-96055,b173585207,christopher,bascombe,smicker,f,23,5/8/1993, 4639  49913  2  2 , 64  ocean  street  pond  house ,woollahra,,nsw,,klkikoaqlo@hotmail.com,widowed,171,118,40,71,170,0,shortness-of-breath-when-walking,2016-02-03t19:18+00:00
rec-45913,d143955629,kenneth,w,goodman,m,57,11/3/1959, 6865  37941  1  2 , 17  gumnut  lane  earl  haven ,nerang,4211,qld,,kenneth.goodman@yahoo.com,not-married,173,112,37,74,113,0,horizontal-knee-fracture,2016-07-27t24:43+00:00
rec-45388,i173827816,jennifer,jean,tatum,f,60,24/5/1956, 9202  23491  2  2 , 54  paas  place  the  village ,williamstown,3016,vic, 03  4615  9256 ,tfmlpihbai@aol.com,married-de-facto,179,135,42,69,185,0,polymyalgia-rheumatica,2016-01-06t20:41+00:00
rec-86247,g174885682,richard,lamont,moore,f,52,9/1/1962, 2819  85381  2  1 , 533  north  road  longford ,mortlake,3272,vic, 03  0745  8726 ,richard.moore.aol.com,not-married,190,137,37,80,201,0,fainted,2015-08-03t23:22+00:00
rec-52783,d100828119,abbey,,humphrey,f,67,26/6/1948, 2059  27595  1  2 , 33  thornton  street  thornton  towers , surfers  paradise ,,qld, 07  2884  6380 ,,separated,179,90,28,74,84,0,developed-a-rash-on-both-legs,2015-03-06t09:28+00:00
rec-24460,i162503163,robert,bradley,weis,m,77,10/3/1941, 6007  52881  1  1 , 97  birch  road  adelene  retirement  village ,wyoming,2250,nsw, 02  8421  1494 ,robert89@mail.com.au,married,177,79,25,74,87,0,cataract-surgery-(left-eye),2018-02-05t18:43+00:00
rec-36431,e110218648,nicolas,herbert,phachomphone,f,59,21/3/1961, 9108  70329  1  1 , 110  watts  road  merungle  park ,kialla,3631,vic,,,married,176,55,17,85,158,0,dry-mouth,2020-02-18t14:56+00:00
rec-38,c101217339,amanda,rose,delgado,f,48,24/1/1965, 5455  58898  2  1 , 1  school  street  greenwood  park ,kincumber,2251,nsw, 02  6333  8504 ,amanda.delgado.yahoo.com,not-married,169,76,26,77,209,0,coughing,2016-04-03t19:09+00:00
rec-9975,e103421128,elbert,edward,hollar,m,58,5/1/1958, 9792  95295  1  1 , 250  baltimore  parade  karri  lodge ,merriwa,6030,wa,,elbert.hollar@mail.com,not-married,180,119,36,76,112,0,right-renal-cyst,2016-03-27t12:29+00:00
rec-66724,c198264365,glenwood,frederick,bell,m,15,28/6/2003, 6392  88663  1  2 , 31  clancy  street  kalgoorlie  village  caravn  park ,boulder,6432,wa, 08  9966  6166 ,bell.glenwood@hotmail.com,n/a,164,50,18,75,167,0,night-sweats,2018-10-05t15:28+00:00
rec-88122,d180442542,joe,d,holcombe,f,53,29/11/1962, 7054  99722  2  2 , 10  reef  street  railway  cottage ,maldon,3463,vic, 03  9495  8635 ,holcombe.joe@mail.com,divorced,195,102,26,75,161,0,swelling-of-right-hand,2015-07-11t02:11+00:00
rec-70112,e145356509,jeffrey,john,vogel,m,38,4/9/1980, 3912  67599  2  2 , 41  port  rush  parade  raafa  estate , meadow  springs ,6210,wa,,jeffrey46@mail.com,married-de-facto,181,71,21,70,115,0,urinary-tract-infection,2018-10-05t03:41+00:00
rec-80427,e165868788,leroy,leo,mclarney,f,74,4/4/1945, 4588  11810  2  1 , 174  clive  steele  avenue  castle  reagh  terrace ,monash,2904,act,,,married-de-facto,165,78,28,72,47,0,fall,2019-09-19t09:45+00:00
rec-65887,d160155366,claudia,wood,dauerer,f,38,29/10/1974, 6707  63242  1  2 , 11  caloola  crescent  raaf  base ,darwin,0800,nt,,,married,180,86,26,73,197,0,pneumonia,2012-06-09t05:52+00:00
rec-9408,c114204983,william,dewey,alexander,f,29,31/3/1987, 1884  77143  2  1 , 1  bronzewing  avenue  howard  river  park , howard  springs ,0835,nt, 08  0136  5905 ,alexander40@mail.com,not-married,186,74,21,71,154,0,r.-wrist-swelling,2016-01-04t18:32+00:00
rec-53931,h183303030,martina,mabe,willis,f,55,30/5/1962, 4401  95801  2  1 , 201  beach  road  kanangra ,batehaven,,nsw,,lbiafhdmtj@mail.com.au,not-married,170,140,48,71,245,0,sinus-infection,2017-04-26t11:21+00:00
rec-3083,d195541489,phyllis,l,sterne,f,52,22/3/1963, 8046  38457  2  2 , 59  pakington  street  house  1 , st  kilda ,3182,vic, 03  8058  2012 ,sterne98@gmail.com,divorced,190,103,28,72,139,0,atrial-fibrillation,2015-06-27t20:39+00:00
rec-32893,b181069707,margelene,,sanchez,f,41,1/3/1975, 7983  33224  1  1 , 56  ross  lane  sanctuary  village , lennox  head ,2478,nsw, 02  7693  1899 ,sanchez96@gmail.com,married,165,62,22,75,255,0,diarrhea,2016-07-07t05:50+00:00
rec-73437,b135470620,jonathan,,brown,f,8,22/10/2007, 1016  24635  1  3 , 25  mokera  street  coral  cove , innes  park ,4670,qld,,jonathan57@yahoo.com,n/a,128,-99,17,76,104,0,skin-ca-removed-from-head-(basal-cell),2015-04-22t19:10+00:00
rec-47518,a187021692,terrilyn,catherine,mikulak,f,56,29/10/1959, 8142  30270  1  2 , 21  cavenagh  street  the  metro ,darwin,,nt, 08  4552  0189 ,,married,189,131,36,78,142,1,shortness-of-breath,2015-12-10t19:26+00:00
rec-69656,g150172154,carly,n,watts,f,28,22/6/1987, 7951  51248  2  1 , 76  the  grove  flt  5 ,coburg,3058,vic, 03  5119  6403 ,,married,173,140,46,76,67,0,blurred-vision,2015-07-25t16:39+00:00
rec-28093,d191169136,selena,alicecolvin,lisko,f,26,12/4/1989, 7146  35993  1  1 , 72  sextonville  road  riverdell ,casino,2470,nsw, 02  8895  2895 ,selena45.mail.com,married,198,94,23,75,128,0,failure-to-thrive,2015-02-12t23:04+00:00
rec-9808,a162682282,johnny,patrick,barnett,m,62,13/1/1949, 5975  83814  1  1 , 39  anne  findlay  place  kiah  ldge , bateau  bay ,2261,nsw, 02  9432  3464 ,,married-de-facto,198,68,17,80,170,0,bladder-infection,2011-08-27t09:03+00:00
rec-78714,h173754314,christopher,brandon,apple,f,19,29/12/1996, 8703  32241  1  3 , 48  blenheim  road  dongara  medical  centre ,dongara,6525,wa,,apple30@hotmail.com,married,193,110,29,75,169,0,fall,2015-09-18t05:56+00:00
rec-78944,e146318978,allen,kesler,norman,f,46,15/3/1967, 5940  44392  1  1 , 1  lower  darling  road  avoca  estate ,wentworth,2648,nsw,,norman87.gmail.com,not-married,172,116,39,82,98,0,diverticulitis,2014-08-01t10:33+00:00
rec-29997,d121064187,jeffrey,j,davenport,m,52,31/1/1965, 1819  79331  1  1 , 99  coolalie  road  dunrovin ,jerrawa,2582,nsw, 02  3858  8821 ,davenport100@mail.com,married,165,147,53,77,212,0,dyspepsia,2017-09-04t22:47+00:00
rec-34061,d117280904,sheila,ann,coggins,m,65,18/9/1950, 9968  26509  2  2 , 7  keith  lane  level  one , fannie  bay ,0820,nt,,coggins.sheila@yahoo.com,married,195,96,25,74,120,0,depressed-mood-(in-therapy),2015-07-13t22:55+00:00
rec-94783,e191887839,timothy,russell,matos,m,64,27/5/1952, 1953  86869  1  2 , 79  main  street  bushland  caravn  park ,wooli,2462,nsw,,matos39@mail.com.au,divorced,186,90,26,72,164,0,thyroid-neck-pain,2016-12-11t10:54+00:00
rec-74855,e168511215,mark,jeffrey,campbell,f,45,12/8/1972, 7199  96119  1  2 , 1  wollombi  road  sanford  vale , bishops  bridge ,,nsw,,,married,198,93,23,77,248,0,sweating,2017-01-26t13:06+00:00
rec-73651,a106550141,walter,,hyatt,f,39,12/9/1974, 1744  49675  2  2 , 70  geddes  road  barnaline , hodgson  vale ,4352,qld,,,married-de-facto,196,-99,27,72,239,0,malignant-hypertension,2013-11-20t20:51+00:00
rec-30840,e190891274,robert,allen,pope,m,28,23/11/1986, 4211  30990  1  1 , 5891  federal  highway  taradale ,collector,,nsw,,robert.pope@yahoo.com,not-married,194,71,18,77,120,0,low-energy,2014-02-21t21:36+00:00
rec-12213,i131943199,james,,leep,m,63,14/3/1954, 4775  24484  2  1 , 448  cluny  road  grassmere ,tilbuster,,nsw, 02  6011  4073 ,leep17@mail.com,married-de-facto,194,67,17,82,193,1,fall,2017-03-08t02:37+00:00
rec-67458,h137655044,anna,nicole,merideth,f,21,23/8/1995, 6463  79965  2  2 , 250  baltimore  parade  raafa  estate ,merriwa,6030,wa, 08  1678  1673 ,anna.merideth@aol.com,not-married,178,93,29,79,199,0,intermittent-ventricular-taccycardia,2016-03-22t14:47+00:00
rec-70221,a198412917,sharon,albert,wiles,m,62,25/5/1955, 8332  98441  2  1 , 40  parap  road  finance  house ,darwin,0800,nt, 08  7488  2619 ,wiles80@gmail.com,married,196,73,19,74,107,0,fall,2017-09-15t09:07+00:00
rec-27423,f172274596,patricia,b,ludwig,f,61,20/10/1955, 4059  94430  1  1 , 38  alfred  street  apt  2002 , milsons  point ,,nsw, 02  4069  4225 ,patricia33.mail.com,married-de-facto,189,145,40,79,54,0,dry-mouth,2018-08-02t09:06+00:00
rec-99900,a109594134,roger,micha,white,f,29,23/4/1982, 9789  12173  1  1 , 30  st  kevins  avenue  surfers  palms  east ,benowa,4217,qld, 07  5193  7413 ,ifrligsdar@aol.com,separated,179,94,29,73,142,1,rash,2011-12-18t20:28+00:00
rec-24135,e141102824,william,anthony,morton,m,22,9/3/1998, 2857  60385  1  2 , 15  marlborough  road  aprt  4 ,willoughby,2068,nsw, 02  7252  7528 ,morton56@hotmail.com,married,171,70,23,66,103,0,low-back-pain,2020-02-10t21:21+00:00
rec-37546,b197628233,clyde,kip,buchanan,m,53,20/8/1961, 8720  22988  2  1 , 1  james  cook  drive  ocean  free  estate , kewarra  beach ,4879,qld, 07  1424  2081 ,coqhpqocie@mail.com.au,married,186,77,22,71,203,0,diarrhea,2014-03-27t06:09+00:00
rec-55923,a135748153,holly,marie,white,f,38,21/8/1978, 5958  17108  2  2 , 106  hindman  street  hastings  valley  parkland  vlge , port  macquarie ,2444,nsw, 02  9510  5909 ,,married,169,136,47,74,178,0,rash,2016-11-15t02:42+00:00
rec-7772,c181980755,james,dwayne,bell,m,12,19/8/2003, 8822  51227  1  3 , 258  spring  street  yukana  retirement  vlge ,toowoomba,4350,qld, 07  8467  5005 ,bell79@mail.com.au,n/a,143,49,23,76,208,0,diarrhea,2015-06-23t24:08+00:00
rec-99075,i110026171,william,thomas,cephus,f,15,12/2/1996, 6144  46042  2  2 , 59  smith  street  cml  building ,darwin,,nt,,cephus48@gmail.com,married-de-facto,160,65,25,75,215,0,night-sweats.,2011-12-20t18:53+00:00
rec-97876,a110173448,roger,lesley,marsh,f,58,25/12/1958, 5164  61359  1  1 , 89  beach  street  aptmnt  240 , port  melbourne ,,vic,,marsh32@yahoo.com,married,184,114,33,78,226,0,mild-cognitive-impairment-(mci),2016-04-20t05:39+00:00
rec-48061,d106118312,eva,lynn,herzberg,f,48,24/9/1964, 6836  35533  2  1 , 1972  east  tamar  highway  highfield ,dilston,7252,tas, 03  3993  5710 ,,married,171,141,48,75,138,0,tardif-dyskenesia,2012-07-02t14:11+00:00
rec-82160,i171293327,ryann,ray,melgar,f,62,26/4/1954, 5800  46237  1  1 , 1  windmill  road  rum  jungle ,batchelor,,nt,,,married,198,133,33,75,195,0,small-strokes-in-brain-stem,2016-04-14t22:28+00:00
rec-33999,i173699639,demetrius,leonard,dresback,m,18,30/1/1999, 6640  48979  1  3 , 10  charles  street  oak-lodge ,cygnet,7112,tas, 03  6201  8045 ,demetrius34@yahoo.com,married,189,56,15,81,192,0,bladder-fungus,2017-05-18t02:19+00:00
rec-49644,b152798071,jessica,ann,reid,f,20,7/7/1998, 1261  78537  1  3 , 185  broadsound  road  tropical  caravan  park ,paget,4740,qld, 07  6158  5404 ,,not-married,183,91,27,73,162,0,fall,2018-06-20t23:13+00:00
rec-29183,e107533211,james,lamont,penn,m,11,27/3/2007, 9391  73122  1  2 , 79  main  street  bushland  caravn  park ,wooli,2462,nsw, 02  5404  5554 ,,n/a,151,44,19,77,197,0,knee-pain,2018-02-10t15:52+00:00
rec-2738,h102789070,farris,matthew,kozlowski,m,54,28/5/1962, 1748  58866  2  1 , 3  port  jackson  circuit  georgian  mews ,phillip,2606,act, 02  3197  9894 ,farris.kozlowski@gmail.com,widowed,181,146,44,75,45,0,dizziness,2016-07-16t12:38+00:00
rec-62312,d138778452,jerry,wayne,nichols,f,66,9/3/1949, 6461  53623  2  2 , 4  newman  avenue  flt  2 ,carnegie,3163,vic,,,not-married,180,142,43,75,132,0,espohageal-discomfort,2015-10-21t19:09+00:00
rec-82110,h115201589,kacey,christopher,erazo,f,54,14/2/1964, 8990  42110  1  1 , 3  fort  king  road  paynesville  nursing  home ,paynesville,,vic, 03  6745  9369 ,,married-de-facto,171,-99,49,76,231,0,fall-at-home,2018-10-03t09:21+00:00
rec-20435,b115069164,virginia,flora,depolo,f,84,5/2/1935, 6503  12767  1  1 , 271  upper  piambong  road  apple  tree  flats ,mudgee,2850,nsw,,depolo17@aol.com,married,183,89,26,80,150,0,melanoma-insitu;-on-chest,2019-06-01t11:48+00:00
rec-4676,g195975834,telia,katherine,wilson,f,64,8/10/1950, 7148  12976  1  1 , 25  paas  place  the  village  condo ,williamstown,,vic,,wilson.telia@gmail.com,not-married,182,93,28,77,76,0,urinary-frequency,2014-02-14t04:32+00:00
rec-35341,e152136142,donald,winston,walters,m,71,2/5/1948, 2373  82954  1  2 , 190  marble  hill  road  balaro ,goulburn,2580,nsw, 02  0563  2982 ,donald95@mail.com,married-de-facto,192,63,17,74,177,0,slight,2019-07-13t08:33+00:00
rec-98906,i189908384,barry,owen,sale,f,51,5/2/1964, 2855  65568  1  2 , 713  mulquinneys  road  witjweri ,braunstone,2460,nsw, 02  0563  9172 ,barry98@aol.com,married,165,139,51,82,113,0,left-ear-eczema,2015-06-07t02:07+00:00
